,Race_result_Pos,Race_result_No,Driver,Race_result_Car,Race_result_Laps,Race_result_Time/Retired,Race_result_PTS,Fastest_laps_Pos,Fastest_laps_No,Fastest_laps_Car,Fastest_laps_Lap,Fastest_laps_Time,Fastest_laps_Avg_Speed,Pit_stop_summary_Stops,Pit_stop_summary_No,Pit_stop_summary_Car,Pit_stop_summary_Lap,Pit_stop_summary_Time_of_day,Pit_stop_summary_Time,Pit_stop_summary_Total,Starting_grid_Pos,Starting_grid_No,Starting_grid_Car,Starting_grid_Time,Qualifying_Pos,Qualifying_No,Qualifying_Car,Qualifying_Q1,Qualifying_Q2,Qualifying_Q3,Qualifying_Laps,Practice_3_Pos,Practice_3_No,Practice_3_Car,Practice_3_Time,Practice_3_Gap,Practice_3_Laps,Practice_2_Pos,Practice_2_No,Practice_2_Car,Practice_2_Time,Practice_2_Gap,Practice_2_Laps,Practice_1_Pos,Practice_1_No,Practice_1_Car,Practice_1_Time,Practice_1_Gap,Practice_1_Laps,location,year
0,1,7,Kimi Räikkönen RAI,Lotus Renault,58,1:30:03.225,25,1,7,Lotus Renault,56,1:29.274,213.845,1,7,Lotus Renault,9,17:17:36,22.709,22.709,7,7,Lotus Renault,1:28.738,7,7,Lotus Renault,1:45.545,1:37.517,1:28.738,27,5,7,Lotus Renault,1:27.625,+0.696s,12,4,7,Lotus Renault,1:26.361,+0.453s,38,6,7,Lotus Renault,1:27.877,+0.666s,17,Australia,2013
1,1,7,Kimi Räikkönen RAI,Lotus Renault,58,1:30:03.225,25,1,7,Lotus Renault,56,1:29.274,213.845,2,7,Lotus Renault,34,17:56:41,22.181,44.890,7,7,Lotus Renault,1:28.738,7,7,Lotus Renault,1:45.545,1:37.517,1:28.738,27,5,7,Lotus Renault,1:27.625,+0.696s,12,4,7,Lotus Renault,1:26.361,+0.453s,38,6,7,Lotus Renault,1:27.877,+0.666s,17,Australia,2013
2,2,3,Fernando Alonso ALO,Ferrari,58,+12.451s,18,3,3,Ferrari,53,1:29.560,213.162,1,3,Ferrari,9,17:17:35,21.792,21.792,5,3,Ferrari,1:28.493,5,3,Ferrari,1:43.850,1:36.691,1:28.493,26,2,3,Ferrari,1:27.000,+0.071s,7,6,3,Ferrari,1:26.748,+0.840s,35,3,3,Ferrari,1:27.547,+0.336s,16,Australia,2013
3,2,3,Fernando Alonso ALO,Ferrari,58,+12.451s,18,3,3,Ferrari,53,1:29.560,213.162,2,3,Ferrari,20,17:35:01,21.606,43.398,5,3,Ferrari,1:28.493,5,3,Ferrari,1:43.850,1:36.691,1:28.493,26,2,3,Ferrari,1:27.000,+0.071s,7,6,3,Ferrari,1:26.748,+0.840s,35,3,3,Ferrari,1:27.547,+0.336s,16,Australia,2013
4,2,3,Fernando Alonso ALO,Ferrari,58,+12.451s,18,3,3,Ferrari,53,1:29.560,213.162,3,3,Ferrari,39,18:04:29,21.704,1:05.102,5,3,Ferrari,1:28.493,5,3,Ferrari,1:43.850,1:36.691,1:28.493,26,2,3,Ferrari,1:27.000,+0.071s,7,6,3,Ferrari,1:26.748,+0.840s,35,3,3,Ferrari,1:27.547,+0.336s,16,Australia,2013
5,3,1,Sebastian Vettel VET,Red Bull Racing Renault,58,+22.346s,15,10,1,Red Bull Racing Renault,42,1:30.409,211.160,1,1,Red Bull Racing Renault,7,17:14:25,21.807,21.807,1,1,Red Bull Racing Renault,1:27.407,1,1,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27,12,1,Red Bull Racing Renault,1:29.808,+2.879s,9,1,1,Red Bull Racing Renault,1:25.908,,33,1,1,Red Bull Racing Renault,1:27.211,,16,Australia,2013
6,3,1,Sebastian Vettel VET,Red Bull Racing Renault,58,+22.346s,15,10,1,Red Bull Racing Renault,42,1:30.409,211.160,2,1,Red Bull Racing Renault,21,17:36:32,22.704,44.511,1,1,Red Bull Racing Renault,1:27.407,1,1,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27,12,1,Red Bull Racing Renault,1:29.808,+2.879s,9,1,1,Red Bull Racing Renault,1:25.908,,33,1,1,Red Bull Racing Renault,1:27.211,,16,Australia,2013
7,3,1,Sebastian Vettel VET,Red Bull Racing Renault,58,+22.346s,15,10,1,Red Bull Racing Renault,42,1:30.409,211.160,3,1,Red Bull Racing Renault,37,18:01:32,21.596,1:06.107,1,1,Red Bull Racing Renault,1:27.407,1,1,Red Bull Racing Renault,1:44.657,1:36.745,1:27.407,27,12,1,Red Bull Racing Renault,1:29.808,+2.879s,9,1,1,Red Bull Racing Renault,1:25.908,,33,1,1,Red Bull Racing Renault,1:27.211,,16,Australia,2013
8,4,4,Felipe Massa MAS,Ferrari,58,+33.577s,12,8,4,Ferrari,38,1:30.239,211.558,1,4,Ferrari,8,17:16:00,21.754,21.754,4,4,Ferrari,1:28.490,4,4,Ferrari,1:44.635,1:36.666,1:28.490,23,3,4,Ferrari,1:27.241,+0.312s,10,8,4,Ferrari,1:26.855,+0.947s,32,2,4,Ferrari,1:27.289,+0.078s,17,Australia,2013
9,4,4,Felipe Massa MAS,Ferrari,58,+33.577s,12,8,4,Ferrari,38,1:30.239,211.558,2,4,Ferrari,23,17:39:40,21.511,43.265,4,4,Ferrari,1:28.490,4,4,Ferrari,1:44.635,1:36.666,1:28.490,23,3,4,Ferrari,1:27.241,+0.312s,10,8,4,Ferrari,1:26.855,+0.947s,32,2,4,Ferrari,1:27.289,+0.078s,17,Australia,2013
10,4,4,Felipe Massa MAS,Ferrari,58,+33.577s,12,8,4,Ferrari,38,1:30.239,211.558,3,4,Ferrari,36,18:00:04,21.509,1:04.774,4,4,Ferrari,1:28.490,4,4,Ferrari,1:44.635,1:36.666,1:28.490,23,3,4,Ferrari,1:27.241,+0.312s,10,8,4,Ferrari,1:26.855,+0.947s,32,2,4,Ferrari,1:27.289,+0.078s,17,Australia,2013
11,5,10,Lewis Hamilton HAM,Mercedes,58,+45.561s,10,5,10,Mercedes,45,1:29.759,212.689,1,10,Mercedes,13,17:23:56,22.155,22.155,3,10,Mercedes,1:28.087,3,10,Mercedes,1:45.456,1:36.625,1:28.087,29,22,10,Mercedes,1:47.246,+20.317s,9,7,10,Mercedes,1:26.772,+0.864s,28,4,10,Mercedes,1:27.552,+0.341s,18,Australia,2013
12,5,10,Lewis Hamilton HAM,Mercedes,58,+45.561s,10,5,10,Mercedes,45,1:29.759,212.689,2,10,Mercedes,31,17:52:21,22.015,44.170,3,10,Mercedes,1:28.087,3,10,Mercedes,1:45.456,1:36.625,1:28.087,29,22,10,Mercedes,1:47.246,+20.317s,9,7,10,Mercedes,1:26.772,+0.864s,28,4,10,Mercedes,1:27.552,+0.341s,18,Australia,2013
13,5,10,Lewis Hamilton HAM,Mercedes,58,+45.561s,10,5,10,Mercedes,45,1:29.759,212.689,3,10,Mercedes,42,18:09:35,21.778,1:05.948,3,10,Mercedes,1:28.087,3,10,Mercedes,1:45.456,1:36.625,1:28.087,29,22,10,Mercedes,1:47.246,+20.317s,9,7,10,Mercedes,1:26.772,+0.864s,28,4,10,Mercedes,1:27.552,+0.341s,18,Australia,2013
14,6,2,Mark Webber WEB,Red Bull Racing Renault,58,+46.800s,8,4,2,Red Bull Racing Renault,45,1:29.732,212.753,1,2,Red Bull Racing Renault,5,17:11:28,24.240,24.240,2,2,Red Bull Racing Renault,1:27.827,2,2,Red Bull Racing Renault,1:44.472,1:36.524,1:27.827,26,13,2,Red Bull Racing Renault,1:30.073,+3.144s,16,2,2,Red Bull Racing Renault,1:26.172,+0.264s,31,5,2,Red Bull Racing Renault,1:27.668,+0.457s,18,Australia,2013
15,6,2,Mark Webber WEB,Red Bull Racing Renault,58,+46.800s,8,4,2,Red Bull Racing Renault,45,1:29.732,212.753,2,2,Red Bull Racing Renault,18,17:32:17,21.717,45.957,2,2,Red Bull Racing Renault,1:27.827,2,2,Red Bull Racing Renault,1:44.472,1:36.524,1:27.827,26,13,2,Red Bull Racing Renault,1:30.073,+3.144s,16,2,2,Red Bull Racing Renault,1:26.172,+0.264s,31,5,2,Red Bull Racing Renault,1:27.668,+0.457s,18,Australia,2013
16,6,2,Mark Webber WEB,Red Bull Racing Renault,58,+46.800s,8,4,2,Red Bull Racing Renault,45,1:29.732,212.753,3,2,Red Bull Racing Renault,38,18:03:34,21.515,1:07.472,2,2,Red Bull Racing Renault,1:27.827,2,2,Red Bull Racing Renault,1:44.472,1:36.524,1:27.827,26,13,2,Red Bull Racing Renault,1:30.073,+3.144s,16,2,2,Red Bull Racing Renault,1:26.172,+0.264s,31,5,2,Red Bull Racing Renault,1:27.668,+0.457s,18,Australia,2013
17,7,15,Adrian Sutil SUT,Force India Mercedes,58,+65.068s,6,13,15,Force India Mercedes,49,1:30.710,210.459,1,15,Force India Mercedes,21,17:36:31,22.693,22.693,12,15,Force India Mercedes,1:38.134,12,15,Force India Mercedes,1:47.330,1:38.134,,19,8,15,Force India Mercedes,1:28.069,+1.140s,15,9,15,Force India Mercedes,1:27.435,+1.527s,35,8,15,Force India Mercedes,1:28.426,+1.215s,19,Australia,2013
18,7,15,Adrian Sutil SUT,Force India Mercedes,58,+65.068s,6,13,15,Force India Mercedes,49,1:30.710,210.459,2,15,Force India Mercedes,46,18:15:28,22.749,45.442,12,15,Force India Mercedes,1:38.134,12,15,Force India Mercedes,1:47.330,1:38.134,,19,8,15,Force India Mercedes,1:28.069,+1.140s,15,9,15,Force India Mercedes,1:27.435,+1.527s,35,8,15,Force India Mercedes,1:28.426,+1.215s,19,Australia,2013
19,8,14,Paul di Resta DIR,Force India Mercedes,58,+68.449s,4,15,14,Force India Mercedes,56,1:30.894,210.033,1,14,Force India Mercedes,8,17:16:13,23.010,23.010,9,14,Force India Mercedes,1:29.305,9,14,Force India Mercedes,1:45.601,1:36.901,1:29.305,23,4,14,Force India Mercedes,1:27.533,+0.604s,9,12,14,Force India Mercedes,1:28.311,+2.403s,37,13,14,Force India Mercedes,1:28.910,+1.699s,18,Australia,2013
20,8,14,Paul di Resta DIR,Force India Mercedes,58,+68.449s,4,15,14,Force India Mercedes,56,1:30.894,210.033,2,14,Force India Mercedes,33,17:55:48,23.051,46.061,9,14,Force India Mercedes,1:29.305,9,14,Force India Mercedes,1:45.601,1:36.901,1:29.305,23,4,14,Force India Mercedes,1:27.533,+0.604s,9,12,14,Force India Mercedes,1:28.311,+2.403s,37,13,14,Force India Mercedes,1:28.910,+1.699s,18,Australia,2013
21,9,5,Jenson Button BUT,McLaren Mercedes,58,+81.630s,2,7,5,McLaren Mercedes,41,1:30.198,211.654,1,5,McLaren Mercedes,4,17:09:54,22.282,22.282,10,5,McLaren Mercedes,1:30.357,10,5,McLaren Mercedes,1:44.688,1:36.644,1:30.357,24,17,5,McLaren Mercedes,1:33.236,+6.307s,7,11,5,McLaren Mercedes,1:28.294,+2.386s,30,9,5,McLaren Mercedes,1:28.440,+1.229s,19,Australia,2013
22,9,5,Jenson Button BUT,McLaren Mercedes,58,+81.630s,2,7,5,McLaren Mercedes,41,1:30.198,211.654,2,5,McLaren Mercedes,20,17:35:24,23.571,45.853,10,5,McLaren Mercedes,1:30.357,10,5,McLaren Mercedes,1:44.688,1:36.644,1:30.357,24,17,5,McLaren Mercedes,1:33.236,+6.307s,7,11,5,McLaren Mercedes,1:28.294,+2.386s,30,9,5,McLaren Mercedes,1:28.440,+1.229s,19,Australia,2013
23,9,5,Jenson Button BUT,McLaren Mercedes,58,+81.630s,2,7,5,McLaren Mercedes,41,1:30.198,211.654,3,5,McLaren Mercedes,37,18:02:18,21.538,1:07.391,10,5,McLaren Mercedes,1:30.357,10,5,McLaren Mercedes,1:44.688,1:36.644,1:30.357,24,17,5,McLaren Mercedes,1:33.236,+6.307s,7,11,5,McLaren Mercedes,1:28.294,+2.386s,30,9,5,McLaren Mercedes,1:28.440,+1.229s,19,Australia,2013
24,10,8,Romain Grosjean GRO,Lotus Renault,58,+82.759s,1,9,8,Lotus Renault,41,1:30.395,211.193,1,8,Lotus Renault,5,17:11:33,22.239,22.239,8,8,Lotus Renault,1:29.013,8,8,Lotus Renault,1:44.284,1:37.641,1:29.013,25,1,8,Lotus Renault,1:26.929,,14,5,8,Lotus Renault,1:26.680,+0.772s,32,10,8,Lotus Renault,1:28.520,+1.309s,15,Australia,2013
25,10,8,Romain Grosjean GRO,Lotus Renault,58,+82.759s,1,9,8,Lotus Renault,41,1:30.395,211.193,2,8,Lotus Renault,19,17:33:53,22.133,44.372,8,8,Lotus Renault,1:29.013,8,8,Lotus Renault,1:44.284,1:37.641,1:29.013,25,1,8,Lotus Renault,1:26.929,,14,5,8,Lotus Renault,1:26.680,+0.772s,32,10,8,Lotus Renault,1:28.520,+1.309s,15,Australia,2013
26,10,8,Romain Grosjean GRO,Lotus Renault,58,+82.759s,1,9,8,Lotus Renault,41,1:30.395,211.193,3,8,Lotus Renault,37,18:02:19,22.534,1:06.906,8,8,Lotus Renault,1:29.013,8,8,Lotus Renault,1:44.284,1:37.641,1:29.013,25,1,8,Lotus Renault,1:26.929,,14,5,8,Lotus Renault,1:26.680,+0.772s,32,10,8,Lotus Renault,1:28.520,+1.309s,15,Australia,2013
27,11,6,Sergio Perez PER,McLaren Mercedes,58,+83.367s,0,6,6,McLaren Mercedes,46,1:29.926,212.294,1,6,McLaren Mercedes,16,17:29:00,23.677,23.677,15,6,McLaren Mercedes,1:39.900,15,6,McLaren Mercedes,1:44.300,1:39.900,,18,18,6,McLaren Mercedes,1:33.527,+6.598s,8,13,6,McLaren Mercedes,1:28.566,+2.658s,33,11,6,McLaren Mercedes,1:28.597,+1.386s,19,Australia,2013
28,11,6,Sergio Perez PER,McLaren Mercedes,58,+83.367s,0,6,6,McLaren Mercedes,46,1:29.926,212.294,2,6,McLaren Mercedes,23,17:40:25,22.004,45.681,15,6,McLaren Mercedes,1:39.900,15,6,McLaren Mercedes,1:44.300,1:39.900,,18,18,6,McLaren Mercedes,1:33.527,+6.598s,8,13,6,McLaren Mercedes,1:28.566,+2.658s,33,11,6,McLaren Mercedes,1:28.597,+1.386s,19,Australia,2013
29,11,6,Sergio Perez PER,McLaren Mercedes,58,+83.367s,0,6,6,McLaren Mercedes,46,1:29.926,212.294,3,6,McLaren Mercedes,41,18:08:37,21.705,1:07.386,15,6,McLaren Mercedes,1:39.900,15,6,McLaren Mercedes,1:44.300,1:39.900,,18,18,6,McLaren Mercedes,1:33.527,+6.598s,8,13,6,McLaren Mercedes,1:28.566,+2.658s,33,11,6,McLaren Mercedes,1:28.597,+1.386s,19,Australia,2013
30,12,18,Jean-Eric Vergne VER,STR Ferrari,58,+83.857s,0,2,18,STR Ferrari,50,1:29.498,213.309,1,18,STR Ferrari,9,17:17:54,23.074,23.074,13,18,STR Ferrari,1:38.778,13,18,STR Ferrari,1:44.871,1:38.778,,19,7,18,STR Ferrari,1:27.860,+0.931s,16,17,18,STR Ferrari,1:28.968,+3.060s,36,17,18,STR Ferrari,1:30.729,+3.518s,17,Australia,2013
31,12,18,Jean-Eric Vergne VER,STR Ferrari,58,+83.857s,0,2,18,STR Ferrari,50,1:29.498,213.309,2,18,STR Ferrari,24,17:41:44,24.688,47.762,13,18,STR Ferrari,1:38.778,13,18,STR Ferrari,1:44.871,1:38.778,,19,7,18,STR Ferrari,1:27.860,+0.931s,16,17,18,STR Ferrari,1:28.968,+3.060s,36,17,18,STR Ferrari,1:30.729,+3.518s,17,Australia,2013
32,12,18,Jean-Eric Vergne VER,STR Ferrari,58,+83.857s,0,2,18,STR Ferrari,50,1:29.498,213.309,3,18,STR Ferrari,44,18:13:03,23.160,1:10.922,13,18,STR Ferrari,1:38.778,13,18,STR Ferrari,1:44.871,1:38.778,,19,7,18,STR Ferrari,1:27.860,+0.931s,16,17,18,STR Ferrari,1:28.968,+3.060s,36,17,18,STR Ferrari,1:30.729,+3.518s,17,Australia,2013
33,13,12,Esteban Gutierrez GUT,Sauber Ferrari,57,+1 lap,0,16,12,Sauber Ferrari,32,1:31.415,208.836,1,12,Sauber Ferrari,5,17:11:35,22.316,22.316,18,12,Sauber Ferrari,1:47.776,18,12,Sauber Ferrari,1:47.776,,,10,10,12,Sauber Ferrari,1:28.253,+1.324s,20,15,12,Sauber Ferrari,1:28.772,+2.864s,33,16,12,Sauber Ferrari,1:30.203,+2.992s,17,Australia,2013
34,13,12,Esteban Gutierrez GUT,Sauber Ferrari,57,+1 lap,0,16,12,Sauber Ferrari,32,1:31.415,208.836,2,12,Sauber Ferrari,27,17:46:47,22.315,44.631,18,12,Sauber Ferrari,1:47.776,18,12,Sauber Ferrari,1:47.776,,,10,10,12,Sauber Ferrari,1:28.253,+1.324s,20,15,12,Sauber Ferrari,1:28.772,+2.864s,33,16,12,Sauber Ferrari,1:30.203,+2.992s,17,Australia,2013
35,14,17,Valtteri Bottas BOT,Williams Renault,57,+1 lap,0,12,17,Williams Renault,42,1:30.652,210.594,1,17,Williams Renault,6,17:13:14,23.528,23.528,16,17,Williams Renault,1:40.290,16,17,Williams Renault,1:47.328,1:40.290,,19,20,17,Williams Renault,1:39.779,+12.850s,13,18,17,Williams Renault,1:29.386,+3.478s,39,15,17,Williams Renault,1:29.928,+2.717s,19,Australia,2013
36,14,17,Valtteri Bottas BOT,Williams Renault,57,+1 lap,0,12,17,Williams Renault,42,1:30.652,210.594,2,17,Williams Renault,24,17:42:08,23.215,46.743,16,17,Williams Renault,1:40.290,16,17,Williams Renault,1:47.328,1:40.290,,19,20,17,Williams Renault,1:39.779,+12.850s,13,18,17,Williams Renault,1:29.386,+3.478s,39,15,17,Williams Renault,1:29.928,+2.717s,19,Australia,2013
37,14,17,Valtteri Bottas BOT,Williams Renault,57,+1 lap,0,12,17,Williams Renault,42,1:30.652,210.594,3,17,Williams Renault,40,18:07:27,24.060,1:10.803,16,17,Williams Renault,1:40.290,16,17,Williams Renault,1:47.328,1:40.290,,19,20,17,Williams Renault,1:39.779,+12.850s,13,18,17,Williams Renault,1:29.386,+3.478s,39,15,17,Williams Renault,1:29.928,+2.717s,19,Australia,2013
38,15,22,Jules Bianchi BIA,Marussia Cosworth,57,+1 lap,0,11,22,Marussia Cosworth,52,1:30.454,211.055,1,22,Marussia Cosworth,9,17:18:08,23.371,23.371,19,22,Marussia Cosworth,1:48.147,19,22,Marussia Cosworth,1:48.147,,,11,14,22,Marussia Cosworth,1:30.388,+3.459s,17,19,22,Marussia Cosworth,1:29.696,+3.788s,32,19,22,Marussia Cosworth,1:31.263,+4.052s,24,Australia,2013
39,15,22,Jules Bianchi BIA,Marussia Cosworth,57,+1 lap,0,11,22,Marussia Cosworth,52,1:30.454,211.055,2,22,Marussia Cosworth,27,17:47:07,23.387,46.758,19,22,Marussia Cosworth,1:48.147,19,22,Marussia Cosworth,1:48.147,,,11,14,22,Marussia Cosworth,1:30.388,+3.459s,17,19,22,Marussia Cosworth,1:29.696,+3.788s,32,19,22,Marussia Cosworth,1:31.263,+4.052s,24,Australia,2013
40,15,22,Jules Bianchi BIA,Marussia Cosworth,57,+1 lap,0,11,22,Marussia Cosworth,52,1:30.454,211.055,3,22,Marussia Cosworth,50,18:23:42,22.669,1:09.427,19,22,Marussia Cosworth,1:48.147,19,22,Marussia Cosworth,1:48.147,,,11,14,22,Marussia Cosworth,1:30.388,+3.459s,17,19,22,Marussia Cosworth,1:29.696,+3.788s,32,19,22,Marussia Cosworth,1:31.263,+4.052s,24,Australia,2013
41,16,20,Charles Pic PIC,Caterham Renault,56,+2 laps,0,19,20,Caterham Renault,55,1:32.261,206.921,1,20,Caterham Renault,8,17:16:47,23.394,23.394,22,20,Caterham Renault,,NC,20,Caterham Renault,1:50.626,,,10,16,20,Caterham Renault,1:30.959,+4.030s,19,20,20,Caterham Renault,1:30.165,+4.257s,37,21,20,Caterham Renault,1:32.274,+5.063s,21,Australia,2013
42,16,20,Charles Pic PIC,Caterham Renault,56,+2 laps,0,19,20,Caterham Renault,55,1:32.261,206.921,2,20,Caterham Renault,33,17:57:12,23.509,46.903,22,20,Caterham Renault,,NC,20,Caterham Renault,1:50.626,,,10,16,20,Caterham Renault,1:30.959,+4.030s,19,20,20,Caterham Renault,1:30.165,+4.257s,37,21,20,Caterham Renault,1:32.274,+5.063s,21,Australia,2013
43,17,23,Max Chilton CHI,Marussia Cosworth,56,+2 laps,0,17,23,Marussia Cosworth,49,1:32.210,207.036,1,23,Marussia Cosworth,6,17:13:26,36.564,36.564,20,23,Marussia Cosworth,1:48.909,20,23,Marussia Cosworth,1:48.909,,,11,21,23,Marussia Cosworth,1:42.872,+15.943s,13,21,23,Marussia Cosworth,1:30.600,+4.692s,36,20,23,Marussia Cosworth,1:32.176,+4.965s,23,Australia,2013
44,17,23,Max Chilton CHI,Marussia Cosworth,56,+2 laps,0,17,23,Marussia Cosworth,49,1:32.210,207.036,2,23,Marussia Cosworth,19,17:34:48,30.838,1:07.402,20,23,Marussia Cosworth,1:48.909,20,23,Marussia Cosworth,1:48.909,,,11,21,23,Marussia Cosworth,1:42.872,+15.943s,13,21,23,Marussia Cosworth,1:30.600,+4.692s,36,20,23,Marussia Cosworth,1:32.176,+4.965s,23,Australia,2013
45,17,23,Max Chilton CHI,Marussia Cosworth,56,+2 laps,0,17,23,Marussia Cosworth,49,1:32.210,207.036,3,23,Marussia Cosworth,34,17:59:26,22.948,1:30.350,20,23,Marussia Cosworth,1:48.909,20,23,Marussia Cosworth,1:48.909,,,11,21,23,Marussia Cosworth,1:42.872,+15.943s,13,21,23,Marussia Cosworth,1:30.600,+4.692s,36,20,23,Marussia Cosworth,1:32.176,+4.965s,23,Australia,2013
46,18,21,Giedo van der Garde VDG,Caterham Renault,56,+2 laps,0,20,21,Caterham Renault,39,1:32.636,206.084,1,21,Caterham Renault,7,17:15:07,24.104,24.104,21,21,Caterham Renault,1:49.519,21,21,Caterham Renault,1:49.519,,,11,15,21,Caterham Renault,1:30.598,+3.669s,20,22,21,Caterham Renault,1:32.450,+6.542s,11,22,21,Caterham Renault,1:32.388,+5.177s,18,Australia,2013
47,18,21,Giedo van der Garde VDG,Caterham Renault,56,+2 laps,0,20,21,Caterham Renault,39,1:32.636,206.084,2,21,Caterham Renault,16,17:29:58,23.834,47.938,21,21,Caterham Renault,1:49.519,21,21,Caterham Renault,1:49.519,,,11,15,21,Caterham Renault,1:30.598,+3.669s,20,22,21,Caterham Renault,1:32.450,+6.542s,11,22,21,Caterham Renault,1:32.388,+5.177s,18,Australia,2013
48,18,21,Giedo van der Garde VDG,Caterham Renault,56,+2 laps,0,20,21,Caterham Renault,39,1:32.636,206.084,3,21,Caterham Renault,34,17:59:22,23.917,1:11.855,21,21,Caterham Renault,1:49.519,21,21,Caterham Renault,1:49.519,,,11,15,21,Caterham Renault,1:30.598,+3.669s,20,22,21,Caterham Renault,1:32.450,+6.542s,11,22,21,Caterham Renault,1:32.388,+5.177s,18,Australia,2013
49,NC,19,Daniel Ricciardo RIC,STR Ferrari,39,DNF,0,14,19,STR Ferrari,33,1:30.881,210.063,1,19,STR Ferrari,15,17:27:32,23.435,23.435,14,19,STR Ferrari,1:39.042,14,19,STR Ferrari,1:46.450,1:39.042,,20,6,19,STR Ferrari,1:27.849,+0.920s,19,14,19,STR Ferrari,1:28.627,+2.719s,31,18,19,STR Ferrari,1:30.969,+3.758s,19,Australia,2013
50,NC,19,Daniel Ricciardo RIC,STR Ferrari,39,DNF,0,14,19,STR Ferrari,33,1:30.881,210.063,2,19,STR Ferrari,30,17:51:27,24.177,47.612,14,19,STR Ferrari,1:39.042,14,19,STR Ferrari,1:46.450,1:39.042,,20,6,19,STR Ferrari,1:27.849,+0.920s,19,14,19,STR Ferrari,1:28.627,+2.719s,31,18,19,STR Ferrari,1:30.969,+3.758s,19,Australia,2013
51,NC,9,Nico Rosberg ROS,Mercedes,26,DNF,0,18,9,Mercedes,18,1:32.259,206.926,1,9,Mercedes,14,17:25:35,22.274,22.274,6,9,Mercedes,1:28.523,6,9,Mercedes,1:43.380,1:36.194,1:28.523,28,11,9,Mercedes,1:28.486,+1.557s,13,3,9,Mercedes,1:26.322,+0.414s,26,7,9,Mercedes,1:28.013,+0.802s,17,Australia,2013
52,NC,16,Pastor Maldonado MAL,Williams Renault,24,DNF,0,21,16,Williams Renault,12,1:32.915,205.465,1,16,Williams Renault,10,17:19:36,23.099,23.099,17,16,Williams Renault,1:47.614,17,16,Williams Renault,1:47.614,,,11,19,16,Williams Renault,1:39.232,+12.303s,13,16,16,Williams Renault,1:28.852,+2.944s,36,14,16,Williams Renault,1:29.443,+2.232s,20,Australia,2013
53,NC,11,Nico Hulkenberg HUL,Sauber Ferrari,,DNS,0,,,,,,,,,,,,,,11,11,Sauber Ferrari,1:38.067,11,11,Sauber Ferrari,1:45.930,1:38.067,,19,9,11,Sauber Ferrari,1:28.253,+1.324s,18,10,11,Sauber Ferrari,1:28.187,+2.279s,34,12,11,Sauber Ferrari,1:28.786,+1.575s,19,Australia,2013
54,1,1,Sebastian Vettel VET,Red Bull Racing Renault,56,1:38:56.681,25,3,1,Red Bull Racing Renault,45,1:40.446,198.661,1,1,Red Bull Racing Renault,5,16:13:32,21.135,21.135,1,1,Red Bull Racing Renault,1:49.674,1,1,Red Bull Racing Renault,1:37.899,1:37.245,1:49.674,13,1,1,Red Bull Racing Renault,1:36.435,,20,2,1,Red Bull Racing Renault,1:36.588,+0.019s,27,3,1,Red Bull Racing Renault,1:37.104,+0.169s,21,Malaysia,2013
55,1,1,Sebastian Vettel VET,Red Bull Racing Renault,56,1:38:56.681,25,3,1,Red Bull Racing Renault,45,1:40.446,198.661,2,1,Red Bull Racing Renault,22,16:44:00,21.339,42.474,1,1,Red Bull Racing Renault,1:49.674,1,1,Red Bull Racing Renault,1:37.899,1:37.245,1:49.674,13,1,1,Red Bull Racing Renault,1:36.435,,20,2,1,Red Bull Racing Renault,1:36.588,+0.019s,27,3,1,Red Bull Racing Renault,1:37.104,+0.169s,21,Malaysia,2013
56,1,1,Sebastian Vettel VET,Red Bull Racing Renault,56,1:38:56.681,25,3,1,Red Bull Racing Renault,45,1:40.446,198.661,3,1,Red Bull Racing Renault,32,17:01:24,21.482,1:03.956,1,1,Red Bull Racing Renault,1:49.674,1,1,Red Bull Racing Renault,1:37.899,1:37.245,1:49.674,13,1,1,Red Bull Racing Renault,1:36.435,,20,2,1,Red Bull Racing Renault,1:36.588,+0.019s,27,3,1,Red Bull Racing Renault,1:37.104,+0.169s,21,Malaysia,2013
57,1,1,Sebastian Vettel VET,Red Bull Racing Renault,56,1:38:56.681,25,3,1,Red Bull Racing Renault,45,1:40.446,198.661,4,1,Red Bull Racing Renault,42,17:18:37,20.757,1:24.713,1,1,Red Bull Racing Renault,1:49.674,1,1,Red Bull Racing Renault,1:37.899,1:37.245,1:49.674,13,1,1,Red Bull Racing Renault,1:36.435,,20,2,1,Red Bull Racing Renault,1:36.588,+0.019s,27,3,1,Red Bull Racing Renault,1:37.104,+0.169s,21,Malaysia,2013
58,2,2,Mark Webber WEB,Red Bull Racing Renault,56,+4.298s,18,6,2,Red Bull Racing Renault,45,1:40.685,198.190,1,2,Red Bull Racing Renault,7,16:17:26,21.010,21.010,5,2,Red Bull Racing Renault,1:52.244,5,2,Red Bull Racing Renault,1:37.619,1:36.449,1:52.244,14,4,2,Red Bull Racing Renault,1:36.613,+0.178s,20,5,2,Red Bull Racing Renault,1:37.026,+0.457s,29,1,2,Red Bull Racing Renault,1:36.935,,15,Malaysia,2013
